title,department,policy_text,category
Performance Review Policy,Sales,Employees receive formal performance reviews annually.,Human Resources
Dress Code Policy,Facilities,Employees are expected to dress in business casual attire.,Workplace
Warranty Policy,Sales,Products are covered under warranty for one year.,Customer Service
Account Management Policy,Sales,Accounts must be reviewed quarterly.,Customer Service
Anti-Harassment Policy,Marketing,Harassment of any kind is not tolerated.,Compliance
Recognition Program Policy,Facilities,Employees may nominate peers for recognition awards.,Human Resources
Software Installation Policy,Sales,Only approved software may be installed on company devices.,IT & Security
Workplace Accommodation Policy,Finance,Employees may request reasonable accommodations.,Human Resources
Data Privacy Policy,Operations,Employees must protect customer data and follow privacy regulations.,Compliance
Work From Abroad Policy,Facilities,Employees may work abroad for up to 30 days with approval.,Remote Work
File Naming Policy,Marketing,Files must follow naming conventions for easy retrieval.,Operations
Churn Prevention Policy,Sales,Customer churn must be analyzed and addressed.,Customer Service
Event Sponsorship Policy,Facilities,Event sponsorships must align with company goals.,Finance & Expense
Company Vehicle Policy,Legal,Use of company vehicles must be logged and approved.,Operations
Onboarding Policy,Sales,New hires must complete onboarding within their first week.,Human Resources
Legal Hold Policy,IT,Legal holds must be applied to relevant documents.,Compliance
Budget Planning Policy,HR,Departments must submit budgets by Q4.,Finance & Expense
Holiday Schedule Policy,Facilities,Company holidays are published annually and observed accordingly.,Human Resources
Support Ticket Policy,Operations,Support tickets must be resolved within SLA.,IT & Security
Supplier Evaluation Policy,Facilities,Suppliers must be evaluated annually.,Operations
Parking Policy,HR,Parking spaces are assigned and must be used accordingly.,Workplace
Equal Opportunity Policy,HR,The company is committed to equal opportunity employment.,Compliance
Customer Interaction Policy,Operations,Employees must maintain professionalism in all customer interactions.,Customer Service
Customer Feedback Policy,Operations,Customer feedback must be logged and reviewed.,Customer Service
Marketing Approval Policy,Operations,Marketing materials must be approved before release.,Operations
Remote Work Policy,Facilities,Employees may work remotely up to three days per week with manager approval.,Remote Work
Code of Conduct,Legal,All employees must adhere to professional behavior standards.,Compliance
Meeting Room Booking Policy,Sales,Meeting rooms must be booked in advance using the portal.,Workplace
Internal Communication Policy,IT,Use company channels for internal communication.,Operations
Mobile Device Policy,IT,Employees may request company-issued mobile devices for work.,IT & Security
Training Reimbursement Policy,Sales,Employees may be reimbursed for approved external training.,Finance & Expense
Client Gift Policy,HR,Client gifts must comply with company guidelines.,Compliance
Campaign Review Policy,HR,Marketing campaigns must be reviewed quarterly.,Operations
Employee Referral Policy,Finance,Employees may refer candidates for open positions.,Human Resources
Offer Letter Policy,Marketing,Offer letters must follow approved templates.,Human Resources
Work Anniversary Recognition Policy,Marketing,Employees are recognized on their work anniversaries.,Human Resources
Conflict of Interest Policy,Marketing,Employees must disclose any potential conflicts of interest.,Compliance
Business Continuity Policy,HR,Departments must maintain business continuity plans.,Operations
Office Supplies Policy,Operations,Office supplies must be ordered through the approved vendor.,Operations
System Downtime Policy,Operations,Planned downtimes are communicated in advance.,IT & Security
Delivery Confirmation Policy,Marketing,Deliveries must be confirmed upon receipt.,Operations
Hardware Upgrade Policy,IT,Hardware upgrades must be requested through IT.,IT & Security
Exit Interview Policy,Facilities,Departing employees are encouraged to participate in an exit interview.,Human Resources
Security Incident Policy,IT,Security incidents must be reported immediately.,IT & Security
Promotion Policy,Finance,Promotions are based on performance and business needs.,Human Resources
Sales Incentive Policy,Marketing,Sales incentives must be documented and approved.,Finance & Expense
Probation Period Policy,Facilities,New hires are subject to a 90-day probation period.,Human Resources
Mentorship Program Policy,HR,Employees may participate in the mentorship program.,Human Resources
Public Speaking Policy,Legal,Employees must get approval before public speaking engagements.,Compliance
Sustainability Policy,Finance,Departments should consider sustainability in operations.,Operations
Remote Access Policy,Legal,Remote access must use secure VPN connections.,Remote Work
Incident Response Policy,Legal,Incident response procedures must be followed during disruptions.,IT & Security
Inventory Management Policy,Sales,Inventory must be tracked and reconciled monthly.,Operations
Asset Disposal Policy,Sales,IT assets must be disposed of securely.,IT & Security
Meeting Minutes Policy,Sales,Meeting minutes must be documented and shared.,Workplace
Office Access Policy,HR,Access badges must be worn and not shared.,IT & Security
Product Return Policy,Marketing,Returns must follow the documented return process.,Customer Service
Email Signature Policy,HR,All employees must use the approved email signature format.,Operations
Cloud Storage Policy,Operations,Use approved cloud storage for company documents.,IT & Security
Shipping Policy,HR,Shipping must use approved carriers.,Operations
Social Media Policy,Finance,Employees must not disclose confidential information on social media.,Compliance
Remote Meeting Policy,Operations,Remote meetings should use approved video conferencing tools.,Remote Work
Interview Panel Policy,HR,Interview panels must include diverse representation.,Human Resources
Expense Approval Policy,Legal,All expenses over $500 require prior approval from Finance.,Finance & Expense
Customer Onboarding Policy,HR,New customers must complete onboarding steps.,Customer Service
Document Retention Policy,Legal,Documents must be retained according to legal requirements.,Compliance
Cybersecurity Awareness Policy,Marketing,Employees must complete annual cybersecurity training.,IT & Security
Corporate Card Policy,Operations,Corporate card usage must comply with expense guidelines.,Finance & Expense
Flexible Hours Policy,HR,Employees may adjust work hours with manager approval.,Remote Work
Sick Leave Policy,Sales,Employees accrue sick leave monthly for personal or family illness.,Human Resources
Social Event Policy,Finance,Social events must be approved and budgeted.,Finance & Expense
Content Publishing Policy,Marketing,Content must be reviewed before publishing.,Operations
Team Building Policy,Finance,Team building events must be approved and budgeted.,Finance & Expense
Home Office Equipment Policy,Legal,Employees may request ergonomic equipment for remote work.,Remote Work
Laptop Usage Policy,IT,Company laptops must be used for business purposes only.,IT & Security
Procurement Policy,Marketing,All purchases must follow the procurement process.,Finance & Expense
Bereavement Leave Policy,Legal,Employees may take up to 5 days of bereavement leave.,Human Resources
Disaster Recovery Policy,Facilities,IT must maintain disaster recovery protocols.,IT & Security
Petty Cash Policy,Legal,Petty cash usage must be documented and reconciled monthly.,Finance & Expense
Brand Guidelines Policy,Facilities,All materials must follow brand guidelines.,Operations
Project Kickoff Policy,IT,Projects must begin with a formal kickoff meeting.,Operations
Contract Review Policy,Finance,Contracts must be reviewed by Legal before signing.,Compliance
Parental Leave Policy,Marketing,Eligible employees may take up to 12 weeks of paid parental leave.,Human Resources
Background Check Policy,Sales,All new hires must pass background checks.,Human Resources
Tuition Assistance Policy,HR,Employees may apply for tuition assistance for approved programs.,Finance & Expense
Internet Usage Policy,Finance,Company internet should be used for work-related activities only.,IT & Security
Whistleblower Policy,HR,Employees may report unethical behavior anonymously.,Compliance
Exit Clearance Policy,Sales,Departing employees must complete exit clearance.,Human Resources
Vendor Management Policy,Marketing,Vendors must be approved and reviewed annually.,Operations
Quality Assurance Policy,HR,Products must pass quality checks before release.,Operations
Conference Attendance Policy,Operations,Employees may attend conferences with prior approval.,Finance & Expense
Media Contact Policy,Finance,Only authorized employees may speak to the media.,Compliance
Diversity and Inclusion Policy,Operations,The company promotes a diverse and inclusive workplace.,Compliance
Workplace Safety Policy,HR,Employees must follow safety procedures and report hazards.,Workplace
Workplace Cleanliness Policy,Sales,Employees are responsible for maintaining clean workspaces.,Workplace
Helpdesk Ticket Policy,Operations,All IT issues must be submitted via helpdesk ticket.,IT & Security
Meeting Etiquette Policy,Facilities,Meetings should start on time and follow an agenda.,Workplace
Lead Management Policy,Finance,Sales leads must be tracked in the CRM.,Customer Service
IT Asset Management Policy,Facilities,All IT assets must be tracked and returned upon exit.,IT & Security
Password Policy,HR,Passwords must be changed every 90 days and meet complexity requirements.,IT & Security
Travel Reimbursement Policy,Facilities,Employees must submit receipts for travel expenses within 30 days.,Finance & Expense
Press Release Policy,Legal,Press releases must be approved by Marketing and Legal.,Compliance
Vacation Policy,IT,Employees receive 15 vacation days per year. Unused days may roll over.,Human Resources
Escalation Policy,Facilities,Customer issues must follow the escalation process.,Customer Service
Job Posting Policy,Legal,All internal job postings are listed on the company portal.,Human Resources
Company Property Policy,Facilities,Employees must return company property upon exit.,Operations
Change Management Policy,HR,Changes to systems must follow the change management process.,IT & Security
Renewal Policy,Legal,Renewals must be initiated 60 days before expiration.,Operations
